datetime;open;high;low;close
2023-01-31 01:00:00;1922.88000;1923.55005;1922.81995;1923.51001
2023-01-31 01:01:00;1923.56006;1923.56006;1923.25;1923.39001
2023-01-31 01:02:00;1923.35999;1923.67004;1923.12000;1923.15002
2023-01-31 01:03:00;1923.17004;1923.46997;1923.17004;1923.39001
2023-01-31 01:04:00;1923.41003;1923.63000;1923.29004;1923.63000
2023-01-31 01:05:00;1923.56995;1923.56995;1923.28003;1923.47998
2023-01-31 01:06:00;1923.31995;1923.43994;1923.10999;1923.35999
2023-01-31 01:07:00;1923.38000;1923.62000;1923.38000;1923.48999
2023-01-31 01:08:00;1923.54004;1923.80005;1923.43994;1923.53003
2023-01-31 01:09:00;1923.56006;1923.80005;1923.51001;1923.80005
2023-01-31 01:10:00;1923.70996;1923.95996;1923.56995;1923.88000
2023-01-31 01:11:00;1923.91003;1924;1923.68005;1923.92004
2023-01-31 01:12:00;1923.93994;1924.010010;1923.65002;1923.68994
2023-01-31 01:13:00;1923.69995;1923.97998;1923.63000;1923.97998
2023-01-31 01:14:00;1923.91003;1923.98999;1923.80005;1923.82996
2023-01-31 01:15:00;1923.83997;1923.83997;1923.48999;1923.54004
2023-01-31 01:16:00;1923.56006;1923.94995;1923.56006;1923.62000
2023-01-31 01:17:00;1923.66003;1924.14001;1923.62000;1923.94995
2023-01-31 01:18:00;1923.88000;1924.12000;1923.85999;1924.089966
2023-01-31 01:19:00;1924.10999;1924.43994;1923.83997;1923.83997
2023-01-31 01:20:00;1923.85999;1923.97998;1923.34998;1923.42004
2023-01-31 01:21:00;1923.34998;1923.70996;1923.26001;1923.42004
2023-01-31 01:22:00;1923.43005;1923.65002;1923.31995;1923.32996
2023-01-31 01:23:00;1923.37000;1923.47998;1923.33997;1923.44995
2023-01-31 01:24:00;1923.42004;1923.48999;1923.15002;1923.45996
2023-01-31 01:25:00;1923.43994;1923.44995;1923.28003;1923.39001
2023-01-31 01:26:00;1923.37000;1923.41003;1923.21997;1923.21997
2023-01-31 01:27:00;1923.31006;1923.37000;1923.060059;1923.079956
2023-01-31 01:28:00;1923.26001;1923.39001;1923.23999;1923.39001
2023-01-31 01:29:00;1923.35999;1923.66003;1923.35999;1923.37000
2023-01-31 01:30:00;1923.38000;1923.51001;1923.10999;1923.14001
2023-01-31 01:31:00;1923.13000;1923.39001;1923.010010;1923.030029
2023-01-31 01:32:00;1923.030029;1923.66003;1923.010010;1923.64001
2023-01-31 01:33:00;1923.58997;1923.71997;1923.28003;1923.31995
2023-01-31 01:34:00;1923.31995;1923.34998;1922.67004;1923.060059
2023-01-31 01:35:00;1923.10999;1923.33997;1923.069946;1923.26001
2023-01-31 01:36:00;1923.33997;1924.21997;1923.31006;1924.21997
