datetime;open;high;low;close;volume
2026-01-08 08:00:00;25128.4609375;25141.5703125;25121.66015625;25125.58984375;0
2026-01-08 08:05:00;25127.1796875;25162.3203125;25127.1796875;25159.900390625;0
2026-01-08 08:10:00;25160.140625;25187.119140625;25159.7109375;25185.890625;0
2026-01-08 08:15:00;25186.970703125;25199.560546875;25182.109375;25195.259765625;0
2026-01-08 08:20:00;25195.259765625;25195.259765625;25164.4609375;25174.810546875;0
2026-01-08 08:25:00;25174.810546875;25188.7890625;25158.310546875;25180.25;0
2026-01-08 08:30:00;25180.25;25213.01953125;25174.880859375;25212.2109375;0
2026-01-08 08:35:00;25216.83984375;25217.51953125;25200.23046875;25202.509765625;0
2026-01-08 08:40:00;25202.509765625;25212.9609375;25195.08984375;25197.25;0
2026-01-08 08:45:00;25196.4609375;25198.169921875;25180.009765625;25193.650390625;0
2026-01-08 08:50:00;25194.150390625;25206.08984375;25192.810546875;25193.720703125;0
2026-01-08 08:55:00;25193.720703125;25194.150390625;25173.669921875;25175.98046875;0
2026-01-08 09:00:00;25175.98046875;25190.16015625;25173.890625;25174.19921875;0
2026-01-08 09:05:00;25174.30078125;25184.8203125;25168.390625;25170.619140625;0
2026-01-08 09:10:00;25170.720703125;25181.1796875;25157.439453125;25165.849609375;0
2026-01-08 09:15:00;25164.650390625;25167.439453125;25154.58984375;25158.609375;0
2026-01-08 09:20:00;25158.109375;25158.76953125;25137.009765625;25140.91015625;0
2026-01-08 09:25:00;25142.330078125;25148.2890625;25137.009765625;25140.119140625;0
2026-01-08 09:30:00;25140.119140625;25159.98046875;25139.7890625;25152.5703125;0
2026-01-08 09:35:00;25152.5703125;25153.66015625;25136.630859375;25146.849609375;0
2026-01-08 09:40:00;25146.849609375;25148.94921875;25140.5390625;25140.630859375;0
2026-01-08 09:45:00;25140.630859375;25142.5;25124.2890625;25124.2890625;0
2026-01-08 09:50:00;25124.16015625;25127.0703125;25114.7109375;25125.08984375;0
2026-01-08 09:55:00;25125.08984375;25129.05078125;25120.830078125;25127.060546875;0
2026-01-08 10:00:00;25127.58984375;25127.58984375;25110.75;25110.76953125;0
2026-01-08 10:05:00;25110.890625;25111.720703125;25059.880859375;25060.099609375;0
2026-01-08 10:10:00;25059.560546875;25099.23046875;25058.48046875;25081.779296875;0
2026-01-08 10:15:00;25081.779296875;25102.69921875;25078.91015625;25094.119140625;0
2026-01-08 10:20:00;25094.119140625;25106.529296875;25093.2109375;25100.720703125;0
2026-01-08 10:25:00;25101.25;25104;25086.91015625;25088.240234375;0
2026-01-08 10:30:00;25088.240234375;25090.83984375;25074.140625;25089.6796875;0
2026-01-08 10:35:00;25089.6796875;25099.140625;25084.08984375;25093.140625;0
2026-01-08 10:40:00;25093.140625;25101.69921875;25088.140625;25098.740234375;0
2026-01-08 10:45:00;25098.76953125;25100.7109375;25091.30078125;25095.16015625;0
2026-01-08 10:50:00;25095.16015625;25103.349609375;25088.55078125;25090.689453125;0
2026-01-08 10:55:00;25090.5;25091.75;25079.330078125;25083.150390625;0
2026-01-08 11:00:00;25083.2109375;25087.169921875;25074.470703125;25082.810546875;0
2026-01-08 11:05:00;25083.509765625;25099.490234375;25082.859375;25092.689453125;0
2026-01-08 11:10:00;25092.9609375;25105.30078125;25086.650390625;25094.810546875;0
2026-01-08 11:15:00;25094.810546875;25096.849609375;25082.439453125;25082.439453125;0
2026-01-08 11:20:00;25082.390625;25092.439453125;25082;25088.0703125;0
2026-01-08 11:25:00;25088.140625;25094.240234375;25086.890625;25089.080078125;0
2026-01-08 11:30:00;25089.150390625;25093.630859375;25073.279296875;25091.91015625;0
2026-01-08 11:35:00;25092.240234375;25092.970703125;25082.669921875;25090.689453125;0
2026-01-08 11:40:00;25090.689453125;25108.759765625;25090.689453125;25099.94921875;0
2026-01-08 11:45:00;25099.94921875;25107.25;25099.669921875;25106.470703125;0
2026-01-08 11:50:00;25106.470703125;25113.640625;25100.25;25108.2890625;0
2026-01-08 11:55:00;25108.2890625;25112.5;25102.580078125;25105.130859375;0
2026-01-08 12:00:00;25105.55078125;25105.580078125;25083.66015625;25088.810546875;0
2026-01-08 12:05:00;25088.810546875;25097.080078125;25084.259765625;25094.41015625;0
2026-01-08 12:10:00;25094.41015625;25105.560546875;25092.94921875;25098.400390625;0
2026-01-08 12:15:00;25098.400390625;25102.83984375;25093.220703125;25097.919921875;0
2026-01-08 12:20:00;25097.919921875;25097.919921875;25084.619140625;25088.390625;0
2026-01-08 12:25:00;25088.390625;25090.779296875;25071.609375;25073.740234375;0
2026-01-08 12:30:00;25073.2109375;25074.869140625;25061.009765625;25062.44921875;0
2026-01-08 12:35:00;25062.359375;25071.189453125;25059.169921875;25059.4296875;0
2026-01-08 12:40:00;25059.359375;25061.740234375;25041.630859375;25045.880859375;0
2026-01-08 12:45:00;25045.880859375;25049.8203125;25038.140625;25048.9296875;0
2026-01-08 12:50:00;25049.05078125;25066.119140625;25049.05078125;25052.169921875;0
2026-01-08 12:55:00;25052.169921875;25055.01953125;25041.41015625;25044.849609375;0
2026-01-08 13:00:00;25045.2890625;25045.2890625;25030.6796875;25032.759765625;0
2026-01-08 13:05:00;25031.69921875;25043.830078125;25029.849609375;25034.16015625;0
2026-01-08 13:10:00;25034.919921875;25040.859375;25024.650390625;25028.91015625;0
2026-01-08 13:15:00;25028.91015625;25061.310546875;25027.740234375;25060.619140625;0
2026-01-08 13:20:00;25060.619140625;25071.779296875;25059.94921875;25063.259765625;0
2026-01-08 13:25:00;25062.609375;25073.240234375;25058.330078125;25062.330078125;0
2026-01-08 13:30:00;25062.150390625;25070.2890625;25056.01953125;25064.869140625;0
2026-01-08 13:35:00;25065.44921875;25069.970703125;25059.689453125;25067.140625;0
2026-01-08 13:40:00;25065.609375;25077.5390625;25062.310546875;25077.0703125;0
2026-01-08 13:45:00;25077.25;25088.640625;25073.69921875;25087.58984375;0
2026-01-08 13:50:00;25086.919921875;25088.259765625;25075.16015625;25079.2109375;0
2026-01-08 13:55:00;25079.2109375;25084.7890625;25072.3203125;25074.80078125;0
2026-01-08 14:00:00;25074.5390625;25081.69921875;25064.0390625;25081.16015625;0
2026-01-08 14:05:00;25081.16015625;25082.029296875;25076.009765625;25081.419921875;0
2026-01-08 14:10:00;25081.83984375;25084.130859375;25072.25;25075.119140625;0
2026-01-08 14:15:00;25074.05078125;25082.630859375;25068.6796875;25069.240234375;0
2026-01-08 14:20:00;25069.48046875;25077.349609375;25048.76953125;25050.849609375;0
2026-01-08 14:25:00;25049.859375;25067.970703125;25048.779296875;25062.69921875;0
2026-01-08 14:30:00;25060.130859375;25069.08984375;25040.869140625;25049.73046875;0
2026-01-08 14:35:00;25049.73046875;25072.119140625;25045.900390625;25065.23046875;0
2026-01-08 14:40:00;25065.23046875;25080.55078125;25058.099609375;25060.33984375;0
2026-01-08 14:45:00;25060.01953125;25086.720703125;25048.330078125;25082.75;0
2026-01-08 14:50:00;25083.119140625;25096.7890625;25072.2890625;25092.099609375;0
2026-01-08 14:55:00;25092.130859375;25094.439453125;25075.759765625;25080.609375;0
2026-01-08 15:00:00;25079.380859375;25104.369140625;25077.66015625;25103.51953125;0
2026-01-08 15:05:00;25103.51953125;25132.3203125;25101.94921875;25130.009765625;0
2026-01-08 15:10:00;25130.009765625;25148.640625;25128.490234375;25148.119140625;0
2026-01-08 15:15:00;25148.2109375;25163.890625;25141.140625;25156.919921875;0
2026-01-08 15:20:00;25156.779296875;25157.0703125;25131.029296875;25136.44921875;0
2026-01-08 15:25:00;25136.359375;25141.619140625;25118.529296875;25119.740234375;0
2026-01-08 15:30:00;25119.560546875;25132.529296875;25117.560546875;25125.279296875;0
2026-01-08 15:35:00;25125.279296875;25140.310546875;25120.990234375;25137.630859375;0
2026-01-08 15:40:00;25137.69921875;25149.169921875;25133.119140625;25135.169921875;0
2026-01-08 15:45:00;25135.5;25142.240234375;25125.0703125;25133.5703125;0
2026-01-08 15:50:00;25133.3203125;25141.759765625;25118.16015625;25118.869140625;0
2026-01-08 15:55:00;25118.869140625;25139.66015625;25116.029296875;25139.330078125;0
2026-01-08 16:00:00;25139.76953125;25149.869140625;25136.5703125;25146.849609375;0
