datetime;open;high;low;close;volume
2026-02-24 08:00:00;24952.16015625;24971.41015625;24944.619140625;24947.16015625;0
2026-02-24 08:05:00;24946.9609375;24951.9609375;24904.5703125;24916.25;0
2026-02-24 08:10:00;24916.390625;24925.30078125;24878.099609375;24916.849609375;0
2026-02-24 08:15:00;24918.560546875;24928.330078125;24892.859375;24902.58984375;0
2026-02-24 08:20:00;24903.859375;24959.30078125;24900.890625;24957.69921875;0
2026-02-24 08:25:00;24958.029296875;24962.740234375;24928.919921875;24937.560546875;0
2026-02-24 08:30:00;24937.75;24960.3203125;24919.19921875;24919.390625;0
2026-02-24 08:35:00;24918.880859375;24918.880859375;24897.91015625;24901.970703125;0
2026-02-24 08:40:00;24902.51953125;24906.439453125;24884.669921875;24904.8203125;0
2026-02-24 08:45:00;24904.8203125;24910.890625;24884.08984375;24886.810546875;0
2026-02-24 08:50:00;24886.9609375;24893.8203125;24883.5390625;24889.23046875;0
2026-02-24 08:55:00;24889.509765625;24917.41015625;24889.509765625;24909.740234375;0
2026-02-24 09:00:00;24909.740234375;24936.509765625;24906.240234375;24936.509765625;0
2026-02-24 09:05:00;24936.9296875;24962.23046875;24936.33984375;24957.91015625;0
2026-02-24 09:10:00;24957.859375;24958.029296875;24940.44921875;24946.19921875;0
2026-02-24 09:15:00;24946.830078125;24958.140625;24934.94921875;24935.0390625;0
2026-02-24 09:20:00;24935.0390625;24935.890625;24920.119140625;24925.25;0
2026-02-24 09:25:00;24925.25;24935.26953125;24924.5;24927.189453125;0
2026-02-24 09:30:00;24927.490234375;24928.220703125;24908.41015625;24910.359375;0
2026-02-24 09:35:00;24910.359375;24928.759765625;24899.939453125;24928.560546875;0
2026-02-24 09:40:00;24929.470703125;24941.099609375;24927.009765625;24938.009765625;0
2026-02-24 09:45:00;24938.169921875;24946.05078125;24924.759765625;24944.94921875;0
2026-02-24 09:50:00;24945.26953125;24948.279296875;24939.279296875;24946.83984375;0
2026-02-24 09:55:00;24947.060546875;24962.349609375;24946.080078125;24958.169921875;0
2026-02-24 10:00:00;24957.9296875;24970.5390625;24957.400390625;24966.2890625;0
2026-02-24 10:05:00;24966.2890625;24967.51953125;24950.150390625;24951.310546875;0
2026-02-24 10:10:00;24951.310546875;24959.0390625;24949.80078125;24952.560546875;0
2026-02-24 10:15:00;24952.560546875;24962.560546875;24952.279296875;24960.310546875;0
2026-02-24 10:20:00;24960.109375;24963.849609375;24956.779296875;24959.55078125;0
2026-02-24 10:25:00;24959.080078125;24974.880859375;24957.400390625;24974.880859375;0
2026-02-24 10:30:00;24974.880859375;24979.26953125;24964.30078125;24974.83984375;0
2026-02-24 10:35:00;24974.9296875;24980.55078125;24963.740234375;24965.029296875;0
2026-02-24 10:40:00;24963.44921875;24968.83984375;24954.66015625;24963.23046875;0
2026-02-24 10:45:00;24964.3203125;24964.740234375;24953.650390625;24953.650390625;0
2026-02-24 10:50:00;24953.650390625;24970.9609375;24951.5;24970.9609375;0
2026-02-24 10:55:00;24973.26953125;24974.7890625;24962.509765625;24964.08984375;0
2026-02-24 11:00:00;24964.08984375;24991.080078125;24963.990234375;24985.419921875;0
2026-02-24 11:05:00;24985.419921875;24985.419921875;24968.080078125;24969.30078125;0
2026-02-24 11:10:00;24970.099609375;24972.220703125;24959.380859375;24959.380859375;0
2026-02-24 11:15:00;24959.41015625;24961.419921875;24956.2109375;24958.169921875;0
2026-02-24 11:20:00;24958.169921875;24960.80078125;24954.1796875;24956.720703125;0
2026-02-24 11:25:00;24956.720703125;24978.94921875;24956.599609375;24977.69921875;0
2026-02-24 11:30:00;24977.69921875;24986.439453125;24973.720703125;24985.669921875;0
2026-02-24 11:35:00;24985.349609375;24985.349609375;24979.939453125;24981.16015625;0
2026-02-24 11:40:00;24981.259765625;24982.970703125;24975.16015625;24976.759765625;0
2026-02-24 11:45:00;24976.759765625;24983.44921875;24973.5;24976.4609375;0
