datetime;open;high;low;close;volume
2026-02-19 08:00:00;25198.380859375;25205.650390625;25191.349609375;25193.609375;0
2026-02-19 08:05:00;25194.650390625;25224.099609375;25194.650390625;25223.609375;0
2026-02-19 08:10:00;25222.490234375;25228.939453125;25164.490234375;25186.650390625;0
2026-02-19 08:15:00;25187;25213.029296875;25187;25208.349609375;0
2026-02-19 08:20:00;25208.060546875;25220.330078125;25195.3203125;25203.369140625;0
2026-02-19 08:25:00;25203.369140625;25210.330078125;25196.689453125;25199.650390625;0
2026-02-19 08:30:00;25199.720703125;25215.48046875;25166.619140625;25170.169921875;0
2026-02-19 08:35:00;25169.25;25169.91015625;25158.9609375;25163.94921875;0
2026-02-19 08:40:00;25163.900390625;25176.419921875;25151.939453125;25170.490234375;0
2026-02-19 08:45:00;25170.490234375;25177.810546875;25160.9296875;25170.9609375;0
2026-02-19 08:50:00;25170.33984375;25171.369140625;25153.560546875;25166.5390625;0
2026-02-19 08:55:00;25166.640625;25170.689453125;25138.0703125;25143.890625;0
2026-02-19 09:00:00;25144.220703125;25152.44921875;25131.130859375;25135.689453125;0
2026-02-19 09:05:00;25136.4609375;25146.33984375;25131.689453125;25146.33984375;0
2026-02-19 09:10:00;25146.33984375;25158.66015625;25144.7890625;25156.94921875;0
2026-02-19 09:15:00;25157.279296875;25159.369140625;25138.5;25149.439453125;0
2026-02-19 09:20:00;25149.419921875;25160.55078125;25145.810546875;25159.5703125;0
2026-02-19 09:25:00;25159.0390625;25159.0390625;25125.650390625;25127.330078125;0
2026-02-19 09:30:00;25127;25130.470703125;25115.51953125;25122.640625;0
2026-02-19 09:35:00;25122.640625;25122.869140625;25101.73046875;25105.119140625;0
2026-02-19 09:40:00;25103.830078125;25107.189453125;25090.859375;25092.919921875;0
2026-02-19 09:45:00;25092.919921875;25092.919921875;25062.130859375;25064.099609375;0
2026-02-19 09:50:00;25063.48046875;25083.0703125;25062.919921875;25081.23046875;0
2026-02-19 09:55:00;25080.919921875;25082.119140625;25058.259765625;25061.939453125;0
2026-02-19 10:00:00;25061.939453125;25062.099609375;25031.7890625;25034.080078125;0
2026-02-19 10:05:00;25034.080078125;25053.98046875;25032.150390625;25050.2890625;0
2026-02-19 10:10:00;25050.380859375;25061.7890625;25049.140625;25050.380859375;0
2026-02-19 10:15:00;25050.759765625;25080.330078125;25050.759765625;25078.359375;0
2026-02-19 10:20:00;25078.599609375;25078.599609375;25060.16015625;25068.23046875;0
2026-02-19 10:25:00;25068.939453125;25072.060546875;25054.30078125;25054.33984375;0
2026-02-19 10:30:00;25054.33984375;25063.439453125;25038.220703125;25062.509765625;0
2026-02-19 10:35:00;25062.509765625;25063.359375;25049.05078125;25055.5390625;0
2026-02-19 10:40:00;25055.5390625;25064.669921875;25053.830078125;25061.470703125;0
2026-02-19 10:45:00;25061.470703125;25077.16015625;25057.19921875;25067.130859375;0
2026-02-19 10:50:00;25067.130859375;25071.859375;25057.80078125;25068.48046875;0
2026-02-19 10:55:00;25068.48046875;25077.509765625;25063.9609375;25067.94921875;0
2026-02-19 11:00:00;25067.94921875;25073.349609375;25059.4296875;25060.41015625;0
2026-02-19 11:05:00;25060.41015625;25088.759765625;25060.41015625;25088.2109375;0
