datetime;open;high;low;close
2025-05-20 01:00:00;3223.23;3225.31;3223.23;3225.15
2025-05-20 01:01:00;3224.89;3225.53;3223.98;3225.29
2025-05-20 01:02:00;3225.36;3226.07;3224.19;3226
2025-05-20 01:03:00;3226.22;3227.53;3225.9;3226.15
2025-05-20 01:04:00;3226.3;3228.4;3225.93;3228.4
2025-05-20 01:05:00;3228.54;3229.6;3228.02;3229.01
2025-05-20 01:06:00;3229.07;3229.07;3226.56;3227.37
2025-05-20 01:07:00;3227.35;3227.45;3225.26;3225.28
2025-05-20 01:08:00;3225.35;3226.04;3224.22;3224.38
2025-05-20 01:09:00;3224.16;3227.36;3224.04;3227.25
2025-05-20 01:10:00;3227.4;3227.49;3225.99;3226.47
2025-05-20 01:11:00;3226.15;3227.37;3225.93;3225.95
2025-05-20 01:12:00;3226.13;3228.12;3226.05;3228.12
2025-05-20 01:13:00;3228.11;3229.35;3227.91;3228.87
2025-05-20 01:14:00;3228.89;3229.05;3227.63;3228.2
2025-05-20 01:15:00;3228.29;3229.52;3227.4;3229.4
2025-05-20 01:16:00;3229.31;3230.34;3229.25;3229.25
2025-05-20 01:17:00;3229.52;3230.09;3229.3;3229.87
2025-05-20 01:18:00;3229.94;3230.34;3229.04;3229.04
2025-05-20 01:19:00;3229.14;3229.85;3228.94;3229.77
2025-05-20 01:20:00;3229.71;3229.71;3227.61;3228.41
2025-05-20 01:21:00;3227.87;3227.91;3225.39;3225.47
2025-05-20 01:22:00;3225.49;3225.83;3224.53;3225.83
2025-05-20 01:23:00;3225.81;3226.77;3224.88;3224.99
2025-05-20 01:24:00;3224.87;3224.88;3222.96;3223.15
2025-05-20 01:25:00;3222.99;3225.21;3222.99;3224.89
2025-05-20 01:26:00;3224.75;3226.38;3224.75;3226.38
2025-05-20 01:27:00;3226.25;3226.69;3225.37;3226.06
2025-05-20 01:28:00;3225.91;3226.15;3224.93;3225.8
2025-05-20 01:29:00;3225.88;3225.99;3224.71;3225.56
2025-05-20 01:30:00;3225.63;3226.22;3225.63;3225.88
2025-05-20 01:31:00;3225.86;3226.62;3225.1;3226.12
2025-05-20 01:32:00;3226;3227.51;3226;3227.26
2025-05-20 01:33:00;3227.42;3227.97;3227.34;3227.78
2025-05-20 01:34:00;3227.85;3229.41;3227.85;3228.59
2025-05-20 01:35:00;3228.6;3229.63;3228.6;3229.11
2025-05-20 01:36:00;3229.46;3229.58;3227.21;3229.42
2025-05-20 01:37:00;3228.95;3230.4;3228.89;3230.06
2025-05-20 01:38:00;3230.12;3232.5;3229.91;3231.33
2025-05-20 01:39:00;3231.47;3232.4;3231.43;3232.4
2025-05-20 01:40:00;3232.38;3232.52;3231.66;3232.5
2025-05-20 01:41:00;3232.28;3232.42;3231.31;3231.66
2025-05-20 01:42:00;3231.51;3231.86;3231.13;3231.27
2025-05-20 01:43:00;3231.15;3231.15;3229.3;3230.03
2025-05-20 01:44:00;3230.15;3230.15;3227.15;3227.22
2025-05-20 01:45:00;3227.14;3227.17;3225.93;3225.93
2025-05-20 01:46:00;3225.89;3226.08;3225.63;3225.95
2025-05-20 01:47:00;3225.91;3227;3225.83;3227
2025-05-20 01:48:00;3226.85;3227.32;3226.31;3227.1
2025-05-20 01:49:00;3227.04;3227.04;3226.06;3226.81
2025-05-20 01:50:00;3226.65;3227.08;3225.6;3226.27
2025-05-20 01:51:00;3226.36;3226.36;3225;3225.2
2025-05-20 01:52:00;3225.06;3225.2;3224.41;3225
2025-05-20 01:53:00;3225.06;3225.5;3225.06;3225.39
2025-05-20 01:54:00;3225.25;3225.25;3223.19;3223.38
2025-05-20 01:55:00;3223.44;3223.53;3221.17;3222.27
2025-05-20 01:56:00;3222.52;3222.96;3221.25;3222.75
2025-05-20 01:57:00;3222.86;3223.42;3222.68;3223.32
2025-05-20 01:58:00;3223.25;3223.25;3221.3;3221.67
2025-05-20 01:59:00;3221.72;3222.07;3220.64;3221.02
2025-05-20 02:00:00;3221;3222.89;3221;3222.57
2025-05-20 02:01:00;3222.48;3222.59;3220;3220
2025-05-20 02:02:00;3220;3222.35;3219.27;3222.01
2025-05-20 02:03:00;3222.01;3222.24;3220.96;3221.95
2025-05-20 02:04:00;3222.02;3222.57;3221.12;3221.96
2025-05-20 02:05:00;3221.68;3221.79;3220.43;3221.03
2025-05-20 02:06:00;3221.02;3221.04;3219.34;3220.07
2025-05-20 02:07:00;3220.19;3220.19;3218.87;3218.99
2025-05-20 02:08:00;3218.93;3219.01;3218;3218
2025-05-20 02:09:00;3217.46;3217.46;3215.56;3215.78
