datetime;open;high;low;close
2024-08-06 01:00:00;2416.070068;2416.17993;2414.010010;2414.78003
2024-08-06 01:01:00;2415.090088;2415.85010;2414.77002;2415.15991
2024-08-06 01:02:00;2414.93994;2415.38989;2413.47998;2415.38989
2024-08-06 01:03:00;2415.39990;2415.39990;2414.31006;2414.63989
2024-08-06 01:04:00;2415.15991;2415.52002;2414.48999;2414.78003
2024-08-06 01:05:00;2415.030029;2415.72998;2414.18994;2415.64990
2024-08-06 01:06:00;2415.57007;2417.030029;2414.67993;2414.67993
2024-08-06 01:07:00;2414.61011;2414.61011;2413.56006;2414.37988
2024-08-06 01:08:00;2414.22998;2414.81006;2413.71997;2413.90991
2024-08-06 01:09:00;2414.26001;2415.43994;2414.18994;2415.21997
2024-08-06 01:10:00;2415.32007;2416.96997;2415.32007;2416.71997
2024-08-06 01:11:00;2416.98999;2417.78003;2416.060059;2417.78003
2024-08-06 01:12:00;2417.78003;2417.80005;2416.43994;2416.80005
2024-08-06 01:13:00;2416.60010;2417.030029;2416.19995;2416.92993
2024-08-06 01:14:00;2416.90991;2417.46997;2416.42993;2416.56006
2024-08-06 01:15:00;2416.64990;2417.35010;2416.31006;2416.86011
2024-08-06 01:16:00;2417.060059;2417.060059;2415.89990;2415.97998
2024-08-06 01:17:00;2416.17993;2416.22998;2415.53003;2415.90991
2024-08-06 01:18:00;2415.68994;2415.81006;2414.19995;2414.35010
2024-08-06 01:19:00;2414.31006;2414.35010;2412.89990;2413.88989
2024-08-06 01:20:00;2413.77002;2414.060059;2412.15991;2412.15991
2024-08-06 01:21:00;2412.14990;2413.19995;2412.14990;2412.52002
2024-08-06 01:22:00;2412.62012;2413.27002;2412.30005;2412.56006
2024-08-06 01:23:00;2412.37988;2413.36011;2412.35010;2413.27002
2024-08-06 01:24:00;2413.35010;2413.43994;2412.57007;2413.31006
2024-08-06 01:25:00;2413.22998;2414.31006;2413.22998;2414.31006
2024-08-06 01:26:00;2414.31006;2414.68994;2413.94995;2414.26001
2024-08-06 01:27:00;2414.31006;2414.96997;2413.89990;2414.80005
2024-08-06 01:28:00;2414.90991;2416.10010;2414.89990;2416.10010
2024-08-06 01:29:00;2416.080078;2416.35010;2415.64990;2416.34009
2024-08-06 01:30:00;2416.23999;2416.64990;2415.78003;2415.96997
2024-08-06 01:31:00;2416.22998;2416.22998;2415.14990;2415.72998
2024-08-06 01:32:00;2415.64990;2416.40991;2415.53003;2415.84009
2024-08-06 01:33:00;2415.94995;2417.22998;2415.56006;2415.59009
2024-08-06 01:34:00;2415.64990;2415.73999;2414.14990;2414.27002
