datetime;open;high;low;close
2023-03-07 01:00:00;1846.16003;1846.53003;1846.15002;1846.35999
2023-03-07 01:01:00;1846.16003;1846.18994;1845.15002;1845.20996
2023-03-07 01:02:00;1845.12000;1845.38000;1844.96997;1845.30005
2023-03-07 01:03:00;1845.26001;1845.45996;1845.16003;1845.45996
2023-03-07 01:04:00;1845.48999;1845.48999;1845.069946;1845.28003
2023-03-07 01:05:00;1845.38000;1845.83997;1845.12000;1845.81995
2023-03-07 01:06:00;1845.84998;1845.95996;1845.68994;1845.92004
2023-03-07 01:07:00;1845.90002;1846.030029;1845.68994;1846.030029
2023-03-07 01:08:00;1846.010010;1846.030029;1845.67004;1845.69995
2023-03-07 01:09:00;1845.69995;1845.87000;1845.69995;1845.83997
2023-03-07 01:10:00;1845.91003;1845.91003;1845.71997;1845.89001
2023-03-07 01:11:00;1845.88000;1846.079956;1845.79004;1846.079956
2023-03-07 01:12:00;1846.099976;1846.099976;1845.73999;1845.73999
2023-03-07 01:13:00;1845.76001;1845.80005;1845.30005;1845.45996
2023-03-07 01:14:00;1845.46997;1845.59998;1845.40002;1845.58997
2023-03-07 01:15:00;1845.57996;1845.98999;1845.40002;1845.73999
2023-03-07 01:16:00;1845.70996;1845.81006;1845.59998;1845.76001
2023-03-07 01:17:00;1845.71997;1845.88000;1845.69995;1845.88000
2023-03-07 01:18:00;1845.88000;1845.93994;1845.78003;1845.93994
2023-03-07 01:19:00;1845.79004;1845.79004;1845.41003;1845.66003
2023-03-07 01:20:00;1845.73999;1845.84998;1845.68005;1845.68994
2023-03-07 01:21:00;1845.68994;1846.21997;1845.68994;1846.19995
2023-03-07 01:22:00;1846.18005;1846.18005;1846.089966;1846.12000
2023-03-07 01:23:00;1846.099976;1846.10999;1846.010010;1846.010010
2023-03-07 01:24:00;1846.18994;1846.26001;1845.98999;1846.010010
2023-03-07 01:25:00;1845.98999;1846.46997;1845.98999;1846.41003
2023-03-07 01:26:00;1846.41003;1846.45996;1846.29004;1846.45996
2023-03-07 01:27:00;1846.45996;1846.45996;1846.23999;1846.40002
2023-03-07 01:28:00;1846.45996;1846.60999;1846.45996;1846.59998
2023-03-07 01:29:00;1846.67004;1846.68994;1846.35999;1846.35999
2023-03-07 01:30:00;1846.40002;1846.40002;1846.10999;1846.10999
2023-03-07 01:31:00;1846.18994;1846.56995;1845.98999;1846.51001
2023-03-07 01:32:00;1846.41003;1846.67004;1845.98999;1846.28003
2023-03-07 01:33:00;1846.29004;1846.95996;1846.29004;1846.84998
2023-03-07 01:34:00;1846.89001;1847.66003;1846.89001;1847.63000
2023-03-07 01:35:00;1847.62000;1847.67004;1847.030029;1847.26001
2023-03-07 01:36:00;1847.45996;1847.96997;1847.31995;1847.95996
2023-03-07 01:37:00;1847.98999;1847.98999;1847.59998;1847.59998
2023-03-07 01:38:00;1847.60999;1847.60999;1847.20996;1847.43005
2023-03-07 01:39:00;1847.45996;1847.90002;1847.45996;1847.81006
2023-03-07 01:40:00;1847.73999;1847.78003;1847.42004;1847.54004
2023-03-07 01:41:00;1847.68005;1847.73999;1847.32996;1847.32996
2023-03-07 01:42:00;1847.38000;1847.55005;1847.26001;1847.33997
2023-03-07 01:43:00;1847.37000;1847.53003;1847.13000;1847.13000
2023-03-07 01:44:00;1847.13000;1847.16003;1846.64001;1846.91003
2023-03-07 01:45:00;1846.89001;1847.28003;1846.89001;1847.13000
2023-03-07 01:46:00;1847.16003;1847.23999;1846.81006;1846.81995
2023-03-07 01:47:00;1846.81995;1846.98999;1846.68994;1846.96997
2023-03-07 01:48:00;1847.030029;1847.19995;1846.98999;1847.12000
2023-03-07 01:49:00;1847.18005;1847.18005;1847.010010;1847.010010
2023-03-07 01:50:00;1847.099976;1847.18994;1846.88000;1846.98999
2023-03-07 01:51:00;1846.98999;1847.31995;1846.95996;1847.26001
2023-03-07 01:52:00;1847.26001;1847.68994;1847.26001;1847.65002
2023-03-07 01:53:00;1847.60999;1848.29004;1847.60999;1848.23999
2023-03-07 01:54:00;1848.30005;1848.54004;1848.089966;1848.099976
2023-03-07 01:55:00;1848.13000;1848.30005;1847.95996;1847.95996
2023-03-07 01:56:00;1847.88000;1847.90002;1847.70996;1847.76001
2023-03-07 01:57:00;1847.78003;1847.83997;1847.57996;1847.62000
2023-03-07 01:58:00;1847.62000;1847.84998;1847.56995;1847.64001
2023-03-07 01:59:00;1847.79004;1847.98999;1847.79004;1847.91003
2023-03-07 02:00:00;1847.91003;1847.94995;1847.67004;1847.80005
2023-03-07 02:01:00;1847.81995;1847.81995;1847.33997;1847.41003
2023-03-07 02:02:00;1847.41003;1847.85999;1847.39001;1847.84998
2023-03-07 02:03:00;1847.85999;1848.15002;1847.71997;1848.15002
2023-03-07 02:04:00;1848.21997;1848.68005;1848.19995;1848.31006
2023-03-07 02:05:00;1848.32996;1848.69995;1848.32996;1848.56995
2023-03-07 02:06:00;1848.60999;1848.95996;1848.57996;1848.95996
2023-03-07 02:07:00;1848.98999;1849.51001;1848.93994;1849.33997
2023-03-07 02:08:00;1849.29004;1849.81006;1849.23999;1849.66003
2023-03-07 02:09:00;1849.69995;1849.88000;1849.43994;1849.71997
2023-03-07 02:10:00;1849.76001;1849.88000;1849.68005;1849.84998
2023-03-07 02:11:00;1849.93994;1850.48999;1849.85999;1850.23999
2023-03-07 02:12:00;1850.23999;1850.38000;1850.13000;1850.31006
2023-03-07 02:13:00;1850.31995;1850.31995;1850.040039;1850.16003
2023-03-07 02:14:00;1850.16003;1850.26001;1850.060059;1850.060059
2023-03-07 02:15:00;1850.010010;1850.37000;1850.010010;1850.35999
2023-03-07 02:16:00;1850.31006;1850.35999;1849.89001;1849.96997
2023-03-07 02:17:00;1849.96997;1850.14001;1849.66003;1850.089966
2023-03-07 02:18:00;1850.089966;1850.099976;1849.68994;1849.98999
2023-03-07 02:19:00;1849.92004;1850.23999;1849.81006;1850.23999
2023-03-07 02:20:00;1850.21997;1850.38000;1850.030029;1850.26001
2023-03-07 02:21:00;1850.18994;1850.54004;1850.18994;1850.33997
2023-03-07 02:22:00;1850.34998;1850.43005;1850.17004;1850.18005
2023-03-07 02:23:00;1850.15002;1850.38000;1850.13000;1850.34998
2023-03-07 02:24:00;1850.40002;1850.40002;1849.89001;1850.060059
2023-03-07 02:25:00;1850.030029;1850.16003;1849.85999;1849.96997
2023-03-07 02:26:00;1849.81995;1850.010010;1849.76001;1849.89001
2023-03-07 02:27:00;1849.89001;1850.010010;1849.88000;1849.91003
2023-03-07 02:28:00;1849.82996;1850.030029;1849.80005;1849.98999
2023-03-07 02:29:00;1850.010010;1850.12000;1849.89001;1850.040039
2023-03-07 02:30:00;1850.030029;1850.030029;1849.64001;1849.65002
2023-03-07 02:31:00;1849.62000;1849.65002;1849.43994;1849.51001
2023-03-07 02:32:00;1849.48999;1849.76001;1849.40002;1849.73999
2023-03-07 02:33:00;1849.73999;1849.91003;1849.60999;1849.91003
2023-03-07 02:34:00;1849.89001;1850.010010;1849.78003;1849.98999
2023-03-07 02:35:00;1849.88000;1849.89001;1849.78003;1849.78003
2023-03-07 02:36:00;1849.79004;1849.81006;1849.45996;1849.46997
2023-03-07 02:37:00;1849.45996;1849.87000;1849.45996;1849.76001
2023-03-07 02:38:00;1849.76001;1849.91003;1849.66003;1849.81006
2023-03-07 02:39:00;1849.83997;1849.83997;1849.53003;1849.53003
2023-03-07 02:40:00;1849.51001;1849.83997;1849.41003;1849.71997
2023-03-07 02:41:00;1849.69995;1849.84998;1849.69995;1849.70996
2023-03-07 02:42:00;1849.76001;1849.90002;1849.76001;1849.90002
2023-03-07 02:43:00;1849.92004;1850.19995;1849.92004;1850.030029
2023-03-07 02:44:00;1850.010010;1850.13000;1850.010010;1850.13000
2023-03-07 02:45:00;1850.14001;1850.17004;1849.68994;1849.82996
2023-03-07 02:46:00;1849.82996;1849.82996;1849.48999;1849.57996
2023-03-07 02:47:00;1849.56006;1849.56995;1849.15002;1849.55005
2023-03-07 02:48:00;1849.62000;1849.70996;1849.43994;1849.64001
2023-03-07 02:49:00;1849.62000;1849.62000;1849.35999;1849.41003
2023-03-07 02:50:00;1849.43005;1849.55005;1849.41003;1849.53003
2023-03-07 02:51:00;1849.43994;1849.55005;1849.42004;1849.51001
2023-03-07 02:52:00;1849.53003;1850.010010;1849.32996;1849.93994
2023-03-07 02:53:00;1849.98999;1849.98999;1849.64001;1849.64001
2023-03-07 02:54:00;1849.60999;1849.70996;1849.51001;1849.70996
2023-03-07 02:55:00;1849.69995;1849.69995;1849.41003;1849.42004
2023-03-07 02:56:00;1849.41003;1849.41003;1849.23999;1849.29004
2023-03-07 02:57:00;1849.23999;1849.32996;1849.14001;1849.18005
2023-03-07 02:58:00;1849.14001;1849.23999;1849.12000;1849.21997
2023-03-07 02:59:00;1849.26001;1849.34998;1848.98999;1849.20996
2023-03-07 03:00:00;1849.23999;1849.23999;1849.050049;1849.050049
2023-03-07 03:01:00;1849.010010;1849.010010;1848.87000;1848.87000
2023-03-07 03:02:00;1848.88000;1848.93994;1848.35999;1848.40002
2023-03-07 03:03:00;1848.38000;1848.53003;1848.28003;1848.44995
2023-03-07 03:04:00;1848.43994;1848.66003;1848.43994;1848.54004
2023-03-07 03:05:00;1848.54004;1848.60999;1848.42004;1848.53003
2023-03-07 03:06:00;1848.43994;1848.46997;1848.42004;1848.44995
2023-03-07 03:07:00;1848.34998;1848.41003;1848.34998;1848.37000
2023-03-07 03:08:00;1848.35999;1848.35999;1848.12000;1848.12000
2023-03-07 03:09:00;1848.12000;1848.31006;1848.12000;1848.30005
2023-03-07 03:10:00;1848.31006;1848.39001;1848.23999;1848.23999
