datetime;open;high;low;close
2025-09-04 01:00:00;3575.64;3577.09;3575.64;3576.07
2025-09-04 01:01:00;3576.07;3576.07;3575.39;3575.39
2025-09-04 01:02:00;3575.38;3575.38;3574.67;3574.67
2025-09-04 01:03:00;3574.2;3574.2;3573.69;3573.69
2025-09-04 01:04:00;3573.68;3573.68;3573.44;3573.44
2025-09-04 01:05:00;3573.35;3573.35;3572.45;3572.45
2025-09-04 01:06:00;3572.45;3572.45;3572.25;3572.25
2025-09-04 01:07:00;3572.25;3572.25;3571.73;3572.06
2025-09-04 01:08:00;3572.23;3572.23;3572.23;3572.23
2025-09-04 01:09:00;3572.23;3573.03;3572.23;3573.03
2025-09-04 01:10:00;3573.03;3573.45;3573.03;3573.44
2025-09-04 01:11:00;3573.4;3573.4;3573.4;3573.4
2025-09-04 01:12:00;3573.45;3573.47;3572.86;3572.86
2025-09-04 01:13:00;3573.37;3574.83;3573.37;3574.83
2025-09-04 01:14:00;3575.48;3575.88;3575.48;3575.87
2025-09-04 01:15:00;3575.88;3575.88;3573.4;3573.6
2025-09-04 01:16:00;3573.39;3573.39;3572.43;3572.43
2025-09-04 01:17:00;3572.39;3573.02;3572.27;3573.02
2025-09-04 01:18:00;3573.19;3573.19;3571.81;3571.81
2025-09-04 01:19:00;3571.27;3571.52;3571.26;3571.26
2025-09-04 01:20:00;3571.06;3571.06;3570.64;3570.65
2025-09-04 01:21:00;3570.6;3570.6;3569.59;3569.67
2025-09-04 01:22:00;3569.67;3569.67;3566.06;3568.58
2025-09-04 01:23:00;3568.58;3568.58;3567.09;3567.46
2025-09-04 01:24:00;3567.45;3567.46;3567.24;3567.25
2025-09-04 01:25:00;3567.31;3568.39;3567.01;3568.28
2025-09-04 01:26:00;3568.28;3568.29;3568;3568
2025-09-04 01:27:00;3567.99;3567.99;3566.98;3567.15
2025-09-04 01:28:00;3567.15;3567.15;3566.87;3566.87
2025-09-04 01:29:00;3567;3567.44;3566.1;3566.31
2025-09-04 01:30:00;3566.31;3566.55;3566.31;3566.55
