datetime;open;high;low;close
2020-01-24 00:00:00;1561.96997;1562.5;1561.12000;1561.77771
2020-01-24 04:00:00;1561.82996;1562.34998;1559.43005;1559.63501
2020-01-24 08:00:00;1559.69995;1563.020020;1557.65002;1559.26001
2020-01-24 12:00:00;1559.16003;1575.26001;1556.67004;1570.34998
2020-01-24 16:00:00;1570.030029;1575.82996;1568.95996;1571.13000
2020-01-24 20:00:00;1570.92004;1572.64001;1569.66003;1571.44995
2020-01-26 20:00:00;1581.34998;1588.62000;1579.55005;1582.014893
2020-01-27 00:00:00;1582.81006;1583.19495;1577.40002;1579.41504
2020-01-27 04:00:00;1579.51001;1580.98999;1577.050049;1578.15002
2020-01-27 08:00:00;1577.84998;1586.33997;1575.95996;1584.55005
2020-01-27 12:00:00;1584.32996;1586.060059;1578.17004;1583.81006
2020-01-27 16:00:00;1583.87000;1584.030029;1577.17004;1580.91846
2020-01-27 20:00:00;1580.93005;1583.41003;1580.13000;1581.18994
2020-01-28 00:00:00;1581.20996;1583.094971;1579.62000;1579.68616
2020-01-28 04:00:00;1579.70996;1580.68005;1577.010010;1577.20996
2020-01-28 08:00:00;1577.51001;1582.29004;1577.15503;1578.15002
2020-01-28 12:00:00;1578.18005;1578.90002;1567.54004;1570.20020
2020-01-28 16:00:00;1570.28003;1571.80005;1567.23999;1569.18274
2020-01-28 20:00:00;1569.31995;1570.28003;1565.62000;1568.57556
2020-01-29 00:00:00;1568.57996;1569.33997;1563.44495;1564.58997
2020-01-29 04:00:00;1564.59998;1569.18994;1564.52002;1568.12000
2020-01-29 08:00:00;1568.12000;1572.48999;1567.31177;1571.97998
2020-01-29 12:00:00;1571.98999;1574.54004;1567.93005;1569.89087
2020-01-29 16:00:00;1569.80005;1576.96997;1569.17004;1575.94995
2020-01-29 20:00:00;1576.60999;1578.010010;1574.98999;1577.16565
2020-01-30 00:00:00;1577.14001;1580.64001;1576.10510;1580.25085
2020-01-30 04:00:00;1580.23999;1582.61755;1577.050049;1581.56604
2020-01-30 08:00:00;1581.59998;1583.040039;1578.45996;1580.12000
2020-01-30 12:00:00;1579.87000;1585.31006;1572.57996;1583.79834
2020-01-30 16:00:00;1583.89001;1586.010010;1577.31006;1579.88000
2020-01-30 20:00:00;1579.65002;1579.96997;1572.76001;1575.21118
2020-01-31 00:00:00;1575.18994;1575.63000;1570.95496;1572.28003
2020-01-31 04:00:00;1572.28003;1576.80005;1571.44995;1576.48999
2020-01-31 08:00:00;1576.76001;1582.089966;1576.19995;1580.69995
2020-01-31 12:00:00;1580.68994;1589.14001;1578.44495;1588.25745
2020-01-31 16:00:00;1588.20996;1588.64001;1581.060059;1586.41577
2020-01-31 20:00:00;1586.79004;1590.55005;1585.31995;1589.010010
2020-02-02 20:00:00;1590.19995;1593.58997;1587.80005;1589.55664
2020-02-03 00:00:00;1589.51001;1590.12000;1579.68994;1580.41089
2020-02-03 04:00:00;1580.27002;1581.48999;1574.030029;1576.47119
2020-02-03 08:00:00;1576.31006;1581.28003;1573.65002;1578.17004
2020-02-03 12:00:00;1578.20996;1580.48999;1570.27002;1575.67786
2020-02-03 16:00:00;1575.57996;1579.73999;1574.37000;1577.81165
2020-02-03 20:00:00;1577.80005;1579.31995;1575.63000;1578.87000
2020-02-04 00:00:00;1578.87000;1579.65002;1573.75;1575.57727
2020-02-04 04:00:00;1575.52002;1576.14001;1570.68005;1572.18005
2020-02-04 08:00:00;1572.41003;1573.25;1565.52002;1570.16003
2020-02-04 12:00:00;1570.21997;1570.77002;1551.37244;1555.35999
2020-02-04 16:00:00;1555.26001;1555.99500;1549.26501;1552.66003
2020-02-04 20:00:00;1552.64001;1555.43994;1552.13696;1554.19507
2020-02-05 00:00:00;1554.099976;1557.56042;1552.15002;1557.33997
2020-02-05 04:00:00;1557.35999;1562.29004;1556.94995;1561.067017
2020-02-05 08:00:00;1561.21997;1562.050049;1547.54504;1555.00097656
2020-02-05 12:00:00;1555.010010;1558.92004;1549.89502;1555.98926
2020-02-05 16:00:00;1556.28003;1559.60205;1556.086304;1557.17004
2020-02-05 20:00:00;1557.099976;1557.93811;1554.72498;1556.14001
2020-02-06 00:00:00;1556.23999;1558.031128;1553.94995;1554.41003
2020-02-06 04:00:00;1554.43005;1560.25;1552.65002;1558.68994
2020-02-06 08:00:00;1558.62000;1567.64502;1558.21997;1564.83997
2020-02-06 12:00:00;1564.82996;1568.33252;1561.65002;1563.42004
2020-02-06 16:00:00;1563.43005;1567.13049;1563.11365;1567.066650
2020-02-06 20:00:00;1567.17004;1567.44580;1565.76489;1565.88501
2020-02-07 00:00:00;1565.89001;1569.19446;1564.84998;1566.67493
2020-02-07 04:00:00;1566.70996;1567.36499;1562.92749;1566.82727
2020-02-07 08:00:00;1566.65002;1569.84912;1564.62000;1568.63770
2020-02-07 12:00:00;1568.65002;1574.060059;1560.79004;1566.38000
2020-02-07 16:00:00;1566.37000;1573.26501;1565.23999;1572.025024
2020-02-07 20:00:00;1572.16003;1572.16003;1569.87317;1570.31995
2020-02-09 20:00:00;1570.29004;1576.51001;1569.20276;1574.73499
2020-02-10 00:00:00;1574.91003;1575.125;1568.10999;1570.84998
2020-02-10 04:00:00;1570.85999;1572.90002;1569.69495;1571.94604
2020-02-10 08:00:00;1572.030029;1575.11951;1570.93005;1572.44580
2020-02-10 12:00:00;1572.32996;1575.74463;1571.48999;1574.18005
2020-02-10 16:00:00;1574.010010;1577.037720;1573.86499;1574.96912
2020-02-10 20:00:00;1574.96997;1575.030029;1571.87000;1572.055054
2020-02-11 00:00:00;1572.050049;1572.31519;1566.94995;1568.65002
2020-02-11 04:00:00;1568.65942;1569.93994;1566.55103;1568.50439
2020-02-11 08:00:00;1568.63000;1570.049561;1565.90503;1568.69995
2020-02-11 12:00:00;1568.71997;1573.99414;1562.89001;1564.16003
2020-02-11 16:00:00;1563.92004;1568.81006;1562.40613;1568.60999
2020-02-11 20:00:00;1568.62000;1569.55005;1566.24841;1567.19495
2020-02-12 00:00:00;1567.069946;1568.61157;1565.89502;1567.96997
2020-02-12 04:00:00;1567.98999;1568.45740;1563.90674;1565.36206
2020-02-12 08:00:00;1565.44995;1567.76575;1562.12915;1567.27502
2020-02-12 12:00:00;1567.19995;1567.59497;1563.64001;1567.35254
2020-02-12 16:00:00;1567.12000;1570.47339;1565.29004;1565.63110
2020-02-12 20:00:00;1565.59998;1571.29004;1565.10999;1570.27002
2020-02-13 00:00:00;1569.81995;1574.32153;1569.24280;1574.19897
2020-02-13 04:00:00;1574.19995;1575.73486;1572.41003;1575.35779
2020-02-13 08:00:00;1575.41003;1577.16003;1573.40002;1574.14001
2020-02-13 12:00:00;1574.060059;1578.19995;1571.96997;1576
2020-02-13 16:00:00;1576.050049;1577.59497;1574.46106;1576.089966
2020-02-13 20:00:00;1576.050049;1577.81995;1575.54004;1577.49500
