datetime;open;high;low;close
2025-06-11 01:00:00;3332.36;3333.2;3331.17;3333.2
2025-06-11 01:01:00;3333.3;3333.44;3332.48;3332.82
2025-06-11 01:02:00;3332.54;3333.15;3331.23;3331.43
2025-06-11 01:03:00;3331.5;3331.61;3330.5;3330.54
2025-06-11 01:04:00;3330.51;3331.8;3330.51;3330.77
2025-06-11 01:05:00;3330.91;3332.15;3330.43;3332.06
2025-06-11 01:06:00;3332.46997;3332.92993;3331.97998;3332.82007
2025-06-11 01:07:00;3332.8;3332.8;3332.05;3332.51
2025-06-11 01:08:00;3332.68;3332.76;3330.76;3330.92
2025-06-11 01:09:00;3331.090088;3332.91992;3331.090088;3332.61011
2025-06-11 01:10:00;3332.60010;3334.62012;3332.60010;3334.32007
2025-06-11 01:11:00;3334.31;3334.62;3334.07;3334.27
2025-06-11 01:12:00;3334.13;3334.38;3333.2;3333.31
2025-06-11 01:13:00;3333.32;3334.23;3333.32;3334.05
2025-06-11 01:14:00;3333.83;3334.24;3333.49;3334.1
2025-06-11 01:15:00;3334.04;3334.46;3333.85;3334.04
2025-06-11 01:16:00;3333.97;3334.4;3333.02;3333.44
2025-06-11 01:17:00;3333.4;3334.63;3333.21;3334.52
2025-06-11 01:18:00;3334.46;3335.96;3334.41;3335.96
2025-06-11 01:19:00;3336.04;3336.41;3335.4;3335.74
2025-06-11 01:20:00;3335.79;3335.98;3335.47;3335.6
2025-06-11 01:21:00;3335.45;3336.12;3335.45;3335.93
2025-06-11 01:22:00;3336.050049;3336.050049;3335.27002;3335.28003
2025-06-11 01:23:00;3335.32007;3335.81006;3335.12012;3335.62988
2025-06-11 01:24:00;3335.58008;3335.65991;3334.63989;3335.40991
2025-06-11 01:25:00;3335.39990;3335.76001;3334.86011;3334.86011
2025-06-11 01:26:00;3335.03;3336.11;3334.81;3335.14
2025-06-11 01:27:00;3335.35;3336.05;3335.28;3335.99
2025-06-11 01:28:00;3335.83;3336.5;3335.1;3336.5
2025-06-11 01:29:00;3336.58008;3337.52002;3335.75;3335.75
2025-06-11 01:30:00;3335.79;3336.18;3335;3335.37
2025-06-11 01:31:00;3335.29;3335.6;3335.13;3335.52
2025-06-11 01:32:00;3335.58;3335.58;3334.63;3335.03
2025-06-11 01:33:00;3334.81;3335.07;3334.33;3334.45
2025-06-11 01:34:00;3334.49;3334.67;3334.2;3334.63
2025-06-11 01:35:00;3334.48;3334.48;3333.16;3333.69
2025-06-11 01:36:00;3333.71;3334.93;3333.53;3334.93
2025-06-11 01:37:00;3334.89;3335.36;3334.46;3334.55
2025-06-11 01:38:00;3334.59;3335.54;3334.45;3335
2025-06-11 01:39:00;3335.23;3335.49;3334.45;3335.04
2025-06-11 01:40:00;3335.31006;3336.45996;3335.31006;3336.20996
2025-06-11 01:41:00;3336.03;3336.55;3335.5;3335.51
2025-06-11 01:42:00;3335.93;3335.95;3334.98;3335.38
2025-06-11 01:43:00;3335.52;3336.42;3335.32;3336.42
2025-06-11 01:44:00;3336.41;3336.41;3334.4;3334.4
2025-06-11 01:45:00;3334.45996;3334.47998;3333.12988;3333.12988
2025-06-11 01:46:00;3333.29;3333.32;3331.9;3332.62
2025-06-11 01:47:00;3332.80005;3333.55005;3332.78003;3333.080078
2025-06-11 01:48:00;3333.4;3333.54;3332.02;3332.02
2025-06-11 01:49:00;3331.92;3332.22;3331.04;3331.04
