datetime;open;high;low;close
2025-10-02 01:00:00;3860.06;3860.06;3856.8;3856.8
2025-10-02 01:01:00;3856.81;3859.57;3856.01;3857.51
2025-10-02 01:02:00;3857.58;3859.58;3857.49;3857.49
2025-10-02 01:03:00;3857.48;3858.22;3857.48;3858.22
2025-10-02 01:04:00;3858.22;3859.63;3858.22;3859.63
2025-10-02 01:05:00;3859.64;3862.95;3859.64;3861.12
2025-10-02 01:06:00;3861.12;3861.13;3858.58;3859.07
2025-10-02 01:07:00;3859.06;3859.79;3857.98;3859.45
2025-10-02 01:08:00;3859.45;3859.46;3858.7;3858.7
2025-10-02 01:09:00;3858.7;3863.69;3858.69;3860.86
2025-10-02 01:10:00;3860.87;3861.97;3860.87;3861.61
2025-10-02 01:11:00;3861.62;3863.06;3861.62;3863.06
2025-10-02 01:12:00;3863.05;3863.43;3862.09;3863.41
2025-10-02 01:13:00;3863.41;3864;3862.15;3862.15
2025-10-02 01:14:00;3862.15;3863.78;3862.15;3863.35
2025-10-02 01:15:00;3863.36;3863.83;3863.36;3863.82
2025-10-02 01:16:00;3863.82;3865;3863.82;3864.99
2025-10-02 01:17:00;3864.99;3864.99;3862.88;3862.88
2025-10-02 01:18:00;3862.89;3862.89;3862.88;3862.88
2025-10-02 01:19:00;3862.89;3864.52;3862.89;3864.4
2025-10-02 01:20:00;3864.39;3864.4;3864.39;3864.39
2025-10-02 01:21:00;3864.4;3865.52;3864.4;3865.52
2025-10-02 01:22:00;3865.52;3865.52;3865.51;3865.51
2025-10-02 01:23:00;3865.52;3868.89;3865.51;3866.89
2025-10-02 01:24:00;3866.89;3867.27;3866.75;3867.27
2025-10-02 01:25:00;3867.26;3868.88;3867.26;3868.34
2025-10-02 01:26:00;3868.33;3868.55;3867.69;3868.33
2025-10-02 01:27:00;3868.32;3868.33;3866.89;3866.9
2025-10-02 01:28:00;3866.9;3868.15;3866.9;3867.33
2025-10-02 01:29:00;3867.32;3867.9;3867.27;3867.28
2025-10-02 01:30:00;3867.27;3868.32;3867.27;3867.99
2025-10-02 01:31:00;3867.98;3868.34;3867.98;3868.34
2025-10-02 01:32:00;3868.57;3869.48;3868.57;3869.24
2025-10-02 01:33:00;3868.98;3870.97;3868.98;3869.89
2025-10-02 01:34:00;3869.22;3869.22;3869.22;3869.22
2025-10-02 01:35:00;3869.22;3870.37;3869.22;3870.34
2025-10-02 01:36:00;3870.34;3870.34;3869.52;3869.9
